sequence_id,expr_tissue_1,expr_tissue_2,expr_tissue_3,expr_tissue_4
training_promoter_01,1.911,4.608,3.583,0.0
training_promoter_02,4.885,4.905,4.867,5.94
training_promoter_03,2.563,2.858,1.777,2.241
training_promoter_04,8.066,7.492,6.41,7.623
training_promoter_05,3.127,3.83,3.686,2.405
training_promoter_06,2.264,3.088,3.684,2.638
training_promoter_07,3.971,1.93,0.944,3.537
training_promoter_08,3.088,2.73,0.501,2.36
training_promoter_09,0.0,0.032,0.0,0.0
training_promoter_10,1.314,0.0,0.0,0.0
training_promoter_11,3.109,3.541,3.425,2.843
training_promoter_12,2.713,0.225,0.0,0.0
training_promoter_13,1.454,5.781,6.388,1.886
training_promoter_14,3.859,3.716,3.221,3.759
training_promoter_15,1.508,1.741,1.576,1.953
training_promoter_16,3.758,3.821,3.73,4.548
training_promoter_17,2.212,2.029,1.122,0.369
training_promoter_18,2.422,2.526,2.413,2.367
training_promoter_19,3.445,1.902,0.0,0.0
training_promoter_20,2.84,2.95,2.797,2.893
training_promoter_21,2.753,2.908,3.121,2.721
training_promoter_22,0.026,0.121,0.0,0.095
training_promoter_23,5.296,5.412,5.484,5.011
training_promoter_24,3.66,3.753,3.46,2.934
training_promoter_25,1.254,1.429,1.174,1.444
training_promoter_26,5.665,4.11,4.047,7.141
training_promoter_27,1.659,0.177,0.0,0.065
training_promoter_28,0.095,0.08,0.0,0.0
training_promoter_29,5.183,5.423,5.713,5.22
training_promoter_30,0.361,0.468,0.25,0.0
training_promoter_31,0.011,0.05,0.0,0.035
training_promoter_32,0.492,0.241,0.031,0.105
training_promoter_33,3.112,3.633,3.682,2.35
training_promoter_34,1.909,2.354,2.446,2.488
training_promoter_35,2.873,3.103,3.385,3.664
training_promoter_36,2.726,3.01,3.151,3.304
training_promoter_37,1.611,1.769,4.873,0.8
training_promoter_38,0.645,0.08,0.128,0.0
training_promoter_39,1.696,2.084,2.366,1.472
training_promoter_40,1.703,0.0,0.0,0.0
